t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=167bde52e022 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=9a1ed840dfdf l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=dd79d1a9fbc5 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=5e43bd67f7ee l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=b9244337256b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=ea4cc7f60acd l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=c8a148221939 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=265e8249b9c2 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=f3d74dab659b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=1759e75fb790 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=be1355812013 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=eb3e1fb796a9 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:13+0530 lvl=info msg="join connections" obj=join id=0d1a2d0d491b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:15+0530 lvl=info msg="join connections" obj=join id=572c2cc324fd l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62523
t=2025-12-17T22:10:25+0530 lvl=info msg="join connections" obj=join id=2708784d9572 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=d9d2c7974daa l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=388a1a497356 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=33b9ed6c3307 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=838017875b65 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=17d19857ccca l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=add0a2ac03fe l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=1d0f3a59660b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=f169c0b9fbe5 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=14b24e317429 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=f8aa9eb613c1 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=3d04e1c2d51d l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=8b2bdf03ffd7 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=e38e670a874f l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=a222e9766468 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=fe96ee67bff8 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=d4d0856c0a0d l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=7fb9c9783588 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=526ec52ea62d l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=4798c030c20a l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
